Name,URL,Description,Logo,Users,Active Users
mastouille.fr,https://mastouille.fr,"Mastouille est une instance Mastodon durable, ouverte, et hébergée en France.",https://mastouille.fr/system/site_uploads/files/000/000/005/@1x/b78080fedaa0fc5d.png,20506,2089.0
mastodon.ie,https://mastodon.ie,"Irish Mastodon - run from Ireland, we welcome all who respect the community rules and members.",https://mastodon.ie/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,20356,2807.0
mastodon.bida.im,https://mastodon.bida.im,"Un'istanza mastodon antifascista prevalentemente italofona con base a Bologna - <a href=""https://mastodon.bida.im/about/more#italiano"" target=""_blank"">Manifesto</a> - <a href=""https://mastodon.bida.im/about/more#policy-it"" target=""_blank"">Cosa non si può fare qui</a> <br /><br />An antifa mostly-italian speaking mastodon istance based in Bologna - <a href=""https://mastodon.bida.im/about/more#english"" target=""_blank"">About us</a> - <a href=""https://mastodon.bida.im/about/more#policy-en"" target=""_blank"">What you can't do here</a><br /><br />Tech stuff provided by <a href=""https://bida.im"" target=""_blank"">Collettivo Bida</a>",https://mastodon.bida.im/system/site_uploads/files/000/000/001/original/bida.png,20348,838.0
masto.nu,https://masto.nu,"General purpose Mastodon server. All languages are welcome but English, Dutch and Spanish are preferred.",https://media.masto.nu/masto-nu-media/site_uploads/files/000/000/001/@1x/71ef559219d61b69.png,19853,905.0
masto.es,https://masto.es,"Bienvenidos a masto.es, el mayor servidor de Mastodon para hispanohablantes de temática general.",https://masto.es/system/site_uploads/files/000/000/001/@1x/a43a739093b4f17b.png,19610,1844.0
mastodon.com.tr,https://mastodon.com.tr,"mastodon.com.tr, genel amaçlı ilk Türkçe Mastodon sunucusudur.",https://mastodon.com.tr/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,18893,988.0
twingyeo.kr,https://twingyeo.kr,Twingyeo(트잉여)는 주식회사 팀언스테이블러즈에서 운영하는 한국어 사용자를 위한 Mastodon 인스턴스입니다.,https://twingyeo.kr/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,18804,1594.0
nrw.social,https://nrw.social,"Wir sind eine freundliche Mastodon Instanz aus Nordrhein-Westfalen. Ob NRW'ler oder NRW-Sympathifanten, jeder ist hier willkommen.",https://nrw.social/system/site_uploads/files/000/000/006/@1x/52a46e38d1814437.png,17667,3325.0
m.rthome.me,https://m.rthome.me,rtHome Socials,https://m.rthome.me/system/site_uploads/files/000/000/001/original/rthome.png?1553505573,17349,70.0
det.social,https://det.social,Mastodon Server des Unterhaltungsfernsehen Ehrenfeld zum dezentralen Diskurs. ,https://det.social/system/site_uploads/files/000/000/005/@1x/980ec8c14497c55c.png,16965,3375.0
o3o.ca,https://o3o.ca,"欢迎来到o3o(嘟站)！这是一个泛话题社区，无论你的兴趣是什么，你都可以自由地通过发布“嘟嘟”来吐槽一切、摸鱼扯皮。
本社区由位于加拿大的 O3O.Foundation 项目运营。我们相信由社会组织运营基本通讯软件和设施是必要的，它们不应被控制在大型企业和政府手中。",https://mstdn-s3.o3o.studio/site_uploads/files/000/000/004/@1x/b192dc1481094ce3.png,16938,3430.0
abdl.link,https://abdl.link,"ABDL.link is a community-led microblogging platform. We’re part of a decentralised federated network. ABDL.link is run on our own servers, supported by our patrons – we don’t sell your personal data.",https://cdn.abdl.link/site_uploads/files/000/000/001/@1x/banner.png,16475,452.0
mastodontech.de,https://mastodontech.de,Offen für alle (über 16) und bereitgestellt von Markus'Blog,https://media.mastodontech.de/site_uploads/files/000/000/004/@1x/e310a83f911031f6.png,16468,2443.0
mastodon.nu,https://mastodon.nu,Mastodon.nu är den största servern i Norden och är öppen för alla. Den drivs ideellt på ett professionellt vis och med 100% förnybar energi. Välkommen! Velkommen! Tervetuloa! Velkominn!,https://media.mastodon.nu/site_uploads/files/000/000/002/@1x/1669e461bf859557.png,16168,1971.0
thu.closed.social,https://thu.closed.social,,https://thu.closed.social/system/site_uploads/files/000/000/005/@1x/4540b3115cb7ca60.png,15370,3825.0
planet.moe,https://planet.moe,"서브컬쳐 향유자들을 위한 한국어 마스토돈 인스턴스, 플래닛이에요.",https://media.planet.moe/site_uploads/files/000/000/004/@1x/f7afac860e6a41a8.png,15166,2315.0
theblower.au,https://theblower.au,"Do you need to sort it out? Get on The Blower, a public social network site that's part of a global federation! Give it a go!

You don't have to be Australian to post here, but it helps.",https://static.theblower.au/site_uploads/files/000/000/001/@1x/f517ff7efc428558.png,15117,628.0
glasgow.social,https://glasgow.social,"A place for communities in and around Glasgow, Scotland.",https://files.glasgow.social/site_uploads/files/000/000/001/@1x/3189814641168ff2.png,14756,584.0
mao.mastodonhub.com,https://mao.mastodonhub.com,本站是Mastodon猫站实例。略略略。。。:-),https://mao.mastodonhub.com/system/site_uploads/files/000/000/001/original/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20201110183313.png?1605004570,14552,220.0
mathstodon.xyz,https://mathstodon.xyz,A Mastodon instance for maths people. We have LaTeX rendering in the web interface!,https://media.mathstodon.xyz/site_uploads/files/000/000/002/@1x/c2d0c9932cd25b26.png,14255,2321.0
sueden.social,https://sueden.social,"Eine Community für alle, die sich dem Süden hingezogen fühlen. Wir können alles außer Hochdeutsch.",https://files.sueden.social/site_uploads/files/000/000/002/@1x/397b1a7ea9c0b62d.png,14248,2704.0
toot.wales,https://toot.wales,"We are the Mastodon social network for Wales and the Welsh, at home and abroad! Y rhwydwaith cymdeithasol annibynnol i Gymru, wedi'i bweru gan Mastodon!",https://cdn.masto.host/tootwales/site_uploads/files/000/000/004/@1x/44cc483eb90750cc.png,13473,1086.0
ieji.de,https://ieji.de,"ieji.de is a generalistic mastodon instance, with the goal of being the fastest mastodon instance in Europe and with a focus on user privacy, like being usable via the tor network.",https://ieji.de/system/site_uploads/files/000/000/001/@1x/688833de6829f917.png,13281,677.0
noc.social,https://noc.social,"This instance is focused on technology, networking, linux, privacy, security, infosec, engineering, but open to anyone. Civil discourse, polite and open. Managed by the noc.org / trunc.org team. ",https://noc.social/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,13204,1161.0
eldritch.cafe,https://eldritch.cafe,"Une instance se voulant accueillante pour les personnes queers, féministes et anarchistes ainsi que pour leurs sympathisant·e·s. Nous sommes principalement francophone.",https://eldritchcafe.files.fedi.monster/site_uploads/files/000/000/001/@1x/b6b5a3a95598a568.png,12632,1132.0
norden.social,https://norden.social,"Moin! Dies ist eine Mastodon Instanz für Nordlichter, Schnacker und was sonst noch so aus dem Norden kommt. Folge dem Leuchtturm.",https://norden.social/system/site_uploads/files/000/000/007/@1x/ae17b5a591dba4e8.png,12576,3697.0
kinky.business,https://kinky.business,"kinky.business is a Mastodon instance for the kink community. Safe, sane, consensual.
",https://kinky.business/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,12393,776.0
octodon.social,https://octodon.social,queer anarchist communist cyber pirate ship,https://octodon.social/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,12198,898.0
social.cologne,https://social.cologne,"social.cologne is eine Mastodon Instanz für jede:n Kölner:in und alle, die sich mit Köln verbunden fühlen. Betrieben von https://cgnfs.de",https://media.social.cologne/site_uploads/files/000/000/005/@1x/6696cf4b5f106b03.png,11924,1772.0
mastodon.green,https://mastodon.green,"Plant trees while you use Mastodon

Mastodon.green is a membership based server",https://files.mastodon.green/site_uploads/files/000/000/003/@1x/a4ea871f5958ffa7.png,11824,1928.0
meow.social,https://meow.social,"This instance run by Tiwy57, Nomaxice, Deki, Blur and Roy is focused around the furry fandom and is open to all fluffies and scalies!",https://medias.meow.social/site_uploads/files/000/000/003/@1x/7853b566072ac080.png,11351,2221.0
tech.lgbt,https://tech.lgbt,"This Mastodon instance is for tech workers, academics, students, furries, and others interested in tech who are LGBTQIA+ or Allies. All are welcome to join us!",https://media.tech.lgbt/site_uploads/files/000/000/003/@1x/e79cbdc6cd486c7c.png,11138,3144.0
